0,2,1.5708,0,0,4,1
0.001,2,1.571,0.0002,6.02162e-20,4,1
0.023607,2,1.57552,0.0047214,-6.27999e-19,4,1
0.0477128,2,1.58034,0.00954263,-7.51505e-18,4,1
0.0968294,2,1.59016,0.0193664,-1.86259e-17,4,1
0.159235,2,1.60264,0.0318491,-1.94206e-17,4,1
0.248356,2,1.62047,0.0496794,6.56765e-18,4,1
0.35746,2,1.64228,0.0715163,1.7637e-16,4,1
0.491022,2,1.66898,0.0982678,1.015e-15,3.99999,1
0.644644,2,1.69969,0.129073,3.8965e-15,3.99997,1
0.817876,2,1.7343,0.163871,1.22941e-14,3.99991,1
1.00705,2,1.77207,0.201966,3.17502e-14,3.99979,1
1.20975,2,1.81251,0.242923,7.11985e-14,3.99956,1
1.42265,2,1.85494,0.286129,1.41766e-13,3.99916,1
1.64291,2,1.89878,0.331079,2.56371e-13,3.9985,1
1.86765,2,1.94344,0.377259,4.27391e-13,3.99747,1
2.09438,2,1.98842,0.424232,6.65469e-13,3.99595,1
2.32087,2,2.03325,0.471613,9.77699e-13,3.99381,1
